household_id,ea_id,saq01,saq06
010101088800910007,010101088800910,1. TIGRAY,009
010102088801010034,010102088801010,1. TIGRAY,010
010103088800709008,010103088800709,1. TIGRAY,007
010104010100101012,010104010100101,1. TIGRAY,001
010104088800405010,010104088800405,1. TIGRAY,004
010105088800712018,010105088800712,1. TIGRAY,007
010105088802215009,010105088802215,1. TIGRAY,022
010106088801204010,010106088801204,1. TIGRAY,012
010107010100213002,010107010100213,1. TIGRAY,002
010108010100218003,010108010100218,1. TIGRAY,002
010201088801806007,010201088801806,1. TIGRAY,018
010202088801509012,010202088801509,1. TIGRAY,015
010203020100103005,010203020100103,1. TIGRAY,001
010203088800910011,010203088800910,1. TIGRAY,009
010204088800713009,010204088800713,1. TIGRAY,007
010205088801106010,010205088801106,1. TIGRAY,011
010206088801508003,010206088801508,1. TIGRAY,015
010207088802009008,010207088802009,1. TIGRAY,020
010208088802007010,010208088802007,1. TIGRAY,020
010209010100218004,010209010100218,1. TIGRAY,002
010210088801507008,010210088801507,1. TIGRAY,015
010211010100302002,010211010100302,1. TIGRAY,003
010212010100510010,010212010100510,1. TIGRAY,005
010302088800603008,010302088800603,1. TIGRAY,006
010303088802005009,010303088802005,1. TIGRAY,020
010304088801407007,010304088801407,1. TIGRAY,014
010305088801602005,010305088801602,1. TIGRAY,016
010306010100104002,010306010100104,1. TIGRAY,001
010306088801803009,010306088801803,1. TIGRAY,018
010307088801303007,010307088801303,1. TIGRAY,013
010308010100402004,010308010100402,1. TIGRAY,004
010309010100311005,010309010100311,1. TIGRAY,003
010401088800209009,010401088800209,1. TIGRAY,002
010401088801804006,010401088801804,1. TIGRAY,018
010403088800201009,010403088800201,1. TIGRAY,002
010403088801801021,010403088801801,1. TIGRAY,018
010405010100123004,010405010100123,1. TIGRAY,001
010405088800102007,010405088800102,1. TIGRAY,001
010408010100204005,010408010100204,1. TIGRAY,002
010501088800902009,010501088800902,1. TIGRAY,009
010502020100102003,010502020100102,1. TIGRAY,001
010502088801410007,010502088801410,1. TIGRAY,014
010503088800803012,010503088800803,1. TIGRAY,008
010601010100215004,010601010100215,1. TIGRAY,002
010602010100216007,010602010100216,1. TIGRAY,002
010604010100137013,010604010100137,1. TIGRAY,001
010605010100313004,010605010100313,1. TIGRAY,003
010606010100423009,010606010100423,1. TIGRAY,004
010701088800415006,010701088800415,1. TIGRAY,004
010701088802004010,010701088802004,1. TIGRAY,020
010702010100112001,010702010100112,1. TIGRAY,001
010702088801409008,010702088801409,1. TIGRAY,014
010703088801107011,010703088801107,1. TIGRAY,011
010704088800402008,010704088800402,1. TIGRAY,004
020101010100104011,020101010100104,2. AFAR,001
020101088800704003,020101088800704,2. AFAR,007
020102010100103006,020102010100103,2. AFAR,001
020103010100203017,020103010100203,2. AFAR,002
020103088800401013,020103088800401,2. AFAR,004
020103088801102009,020103088801102,2. AFAR,011
020106010100102007,020106010100102,2. AFAR,001
020106088801201012,020106088801201,2. AFAR,012
020108088800804002,020108088800804,2. AFAR,008
020201088800301002,020201088800301,2. AFAR,003
020202020100102002,020202020100102,2. AFAR,001
020202088800202005,020202088800202,2. AFAR,002
020203010100206003,020203010100206,2. AFAR,002
020203088800202006,020203088800202,2. AFAR,002
020203088800905006,020203088800905,2. AFAR,009
020205088800207005,020205088800207,2. AFAR,002
020205088800715002,020205088800715,2. AFAR,007
020206088800113002,020206088800113,2. AFAR,001
020206088800803006,020206088800803,2. AFAR,008
020206088801304001,020206088801304,2. AFAR,013
020207010100104002,020207010100104,2. AFAR,001
020301020100111006,020301020100111,2. AFAR,001
020301088800303013,020301088800303,2. AFAR,003
020302088800306006,020302088800306,2. AFAR,003
020303020100103023,020303020100103,2. AFAR,001
020303088800501015,020303088800501,2. AFAR,005
020304088800703004,020304088800703,2. AFAR,007
020305010100306006,020305010100306,2. AFAR,003
020305010100601001,020305010100601,2. AFAR,006
020306088800903006,020306088800903,2. AFAR,009
020401088800602005,020401088800602,2. AFAR,006
020403010100102001,020403010100102,2. AFAR,001
020403088800302007,020403088800302,2. AFAR,003
020404088800501004,020404088800501,2. AFAR,005
020405088800405007,020405088800405,2. AFAR,004
020501088800601004,020501088800601,2. AFAR,006
020502088800303002,020502088800303,2. AFAR,003
020502088801101006,020502088801101,2. AFAR,011
020503010100101006,020503010100101,2. AFAR,001
020504088800505002,020504088800505,2. AFAR,005
020504088801102002,020504088801102,2. AFAR,011
020601010100306002,020601010100306,2. AFAR,003
020601010100330004,020601010100330,2. AFAR,003
030103088803101011,030103088803101,3. AMHARA,031
030106088801805010,030106088801805,3. AMHARA,018
030202088802410016,030202088802410,3. AMHARA,024
030206010100105008,030206010100105,3. AMHARA,001
030206088800908012,030206088800908,3. AMHARA,009
030209088803514011,030209088803514,3. AMHARA,035
030214020100104039,030214020100104,3. AMHARA,001
030303088800803011,030303088800803,3. AMHARA,008
030307088802601009,030307088802601,3. AMHARA,026
030309010100310004,030309010100310,3. AMHARA,003
030312088800504008,030312088800504,3. AMHARA,005
030401088801512006,030401088801512,3. AMHARA,015
030404088801907006,030404088801907,3. AMHARA,019
030409010100102004,030409010100102,3. AMHARA,001
030409088800307009,030409088800307,3. AMHARA,003
030412088800503008,030412088800503,3. AMHARA,005
030416088801301011,030416088801301,3. AMHARA,013
030421010100402001,030421010100402,3. AMHARA,004
030505088800505010,030505088800505,3. AMHARA,005
030512088800206005,030512088800206,3. AMHARA,002
030519088801304010,030519088801304,3. AMHARA,013
030526010100201011,030526010100201,3. AMHARA,002
030602088802210007,030602088802210,3. AMHARA,022
030606088800202009,030606088800202,3. AMHARA,002
0306100101001100.a,030610010100110,3. AMHARA,001
030610088800708012,030610088800708,3. AMHARA,007
030614088801003007,030614088801003,3. AMHARA,010
030616010100207007,030616010100207,3. AMHARA,002
030701088800919007,030701088800919,3. AMHARA,009
030703088802911004,030703088802911,3. AMHARA,029
030706010100103018,030706010100103,3. AMHARA,001
030707088800708009,030707088800708,3. AMHARA,007
030710088801809008,030710088801809,3. AMHARA,018
030714010100520004,030714010100520,3. AMHARA,005
030803030100101008,030803030100101,3. AMHARA,001
030803088802708006,030803088802708,3. AMHARA,027
030808088800201007,030808088800201,3. AMHARA,002
030902088800605010,030902088800605,3. AMHARA,006
030906088802103025,030906088802103,3. AMHARA,021
030910010100304005,030910010100304,3. AMHARA,003
031002088801007007,031002088801007,3. AMHARA,010
031004088801803013,031004088801803,3. AMHARA,018
031007010100107004,031007010100107,3. AMHARA,001
031101088800314009,031101088800314,3. AMHARA,003
031101088800715007,031101088800715,3. AMHARA,007
031105010500201006,031105010500201,3. AMHARA,002
031201088800105008,031201088800105,3. AMHARA,001
031201088800502001,031201088800502,3. AMHARA,005
031301088800101007,031301088800101,3. AMHARA,001
031301088800401013,031301088800401,3. AMHARA,004
031303010300223002,031303010300223,3. AMHARA,002
031401088800203008,031401088800203,3. AMHARA,002
031401088800709005,031401088800709,3. AMHARA,007
031405010100309004,031405010100309,3. AMHARA,003
031503088800107008,031503088800107,3. AMHARA,001
031506010100103006,031506010100103,3. AMHARA,001
031506088800509008,031506088800509,3. AMHARA,005
031511088801109009,031511088801109,3. AMHARA,011
031603088801008006,031603088801008,3. AMHARA,010
031604088800605010,031604088800605,3. AMHARA,006
031605010100105008,031605010100105,3. AMHARA,001
040116010100105003,040116010100105,4. OROMIA,001
040203088800403010,040203088800403,4. OROMIA,004
040212088800506011,040212088800506,4. OROMIA,005
040302010100105015,040302010100105,4. OROMIA,001
040302088801201008,040302088801201,4. OROMIA,012
040310088800903005,040310088800903,4. OROMIA,009
040403088803808009,040403088803808,4. OROMIA,038
040409088801903009,040409088801903,4. OROMIA,019
040416088800808008,040416088800808,4. OROMIA,008
040417010100207020,040417010100207,4. OROMIA,002
040502088800607006,040502088800607,4. OROMIA,006
040511088800604008,040511088800604,4. OROMIA,006
040521020100101001,040521020100101,4. OROMIA,001
040601088802404010,040601088802404,4. OROMIA,024
040606088801505008,040606088801505,4. OROMIA,015
040701088801707012,040701088801707,4. OROMIA,017
040702030100113004,040702030100113,4. OROMIA,001
040706088802003007,040706088802003,4. OROMIA,020
040804088800112010,040804088800112,4. OROMIA,001
040807010100204001,040807010100204,4. OROMIA,002
040812088800704007,040812088800704,4. OROMIA,007
040818088802107007,040818088802107,4. OROMIA,021
040903010100103007,040903010100103,4. OROMIA,001
040903088802905010,040903088802905,4. OROMIA,029
040909088802804008,040909088802804,4. OROMIA,028
040913088802102007,040913088802102,4. OROMIA,021
041001088801403010,041001088801403,4. OROMIA,014
041008088801110023,041008088801110,4. OROMIA,011
041009010100207013,041009010100207,4. OROMIA,002
041013088801410011,041013088801410,4. OROMIA,014
041109088800302006,041109088800302,4. OROMIA,003
041112010100108007,041112010100108,4. OROMIA,001
041117088800104007,041117088800104,4. OROMIA,001
041207088800703010,041207088800703,4. OROMIA,007
041212088800904009,041212088800904,4. OROMIA,009
041303088803505008,041303088803505,4. OROMIA,035
041310088801505009,041310088801505,4. OROMIA,015
041401088802208010,041401088802208,4. OROMIA,022
041402010100102001,041402010100102,4. OROMIA,001
041407088800512009,041407088800512,4. OROMIA,005
041502088800405006,041502088800405,4. OROMIA,004
041506088800605024,041506088800605,4. OROMIA,006
041602020100103004,041602020100103,4. OROMIA,001
041602088800902007,041602088800902,4. OROMIA,009
041606088800702008,041606088800702,4. OROMIA,007
041701088800105001,041701088800105,4. OROMIA,001
041704088803702012,041704088803702,4. OROMIA,037
041709088800509007,041709088800509,4. OROMIA,005
041801088800702009,041801088800702,4. OROMIA,007
041803010100206022,041803010100206,4. OROMIA,002
041805088802106007,041805088802106,4. OROMIA,021
041907088801302005,041907088801302,4. OROMIA,013
041911088801308008,041911088801308,4. OROMIA,013
042002088802503006,042002088802503,4. OROMIA,025
042007088801902007,042007088801902,4. OROMIA,019
042101010101005013,042101010101005,4. OROMIA,010
042101010501435002,042101010501435,4. OROMIA,014
042323010101103009,042323010101103,4. OROMIA,011
042424010100685003,042424010100685,4. OROMIA,006
042828010100624018,042828010100624,4. OROMIA,006
043030010100345002,043030010100345,4. OROMIA,003
043131010100723004,043131010100723,4. OROMIA,007
043535010100252011,043535010100252,4. OROMIA,002
050102010100102005,050102010100102,5. SOMALI,001
050103088801103010,050103088801103,5. SOMALI,011
050109088800301004,050109088800301,5. SOMALI,003
050202088801303003,050202088801303,5. SOMALI,013
050205030100101001,050205030100101,5. SOMALI,001
050205088802405001,050205088802405,5. SOMALI,024
050206088801407002,050206088801407,5. SOMALI,014
050207088800806002,050207088800806,5. SOMALI,008
050212010100806001,050212010100806,5. SOMALI,008
050212010101601004,050212010101601,5. SOMALI,016
050212010101923007,050212010101923,5. SOMALI,019
050212010102805004,050212010102805,5. SOMALI,028
050213088801502002,050213088801502,5. SOMALI,015
050301088800706002,050301088800706,5. SOMALI,007
050303088800907004,050303088800907,5. SOMALI,009
050304088801205001,050304088801205,5. SOMALI,012
050309088800903002,050309088800903,5. SOMALI,009
050310010100201010,050310010100201,5. SOMALI,002
050312010101002002,050312010101002,5. SOMALI,010
050405088800906007,050405088800906,5. SOMALI,009
050405088801501003,050405088801501,5. SOMALI,015
050407010100404001,050407010100404,5. SOMALI,004
050408088800501003,050408088800501,5. SOMALI,005
050502088800603004,050502088800603,5. SOMALI,006
050506088800603001,050506088800603,5. SOMALI,006
050511010100602010,050511010100602,5. SOMALI,006
050602088800702003,050602088800702,5. SOMALI,007
050604088800604004,050604088800604,5. SOMALI,006
050605020100107004,050605020100107,5. SOMALI,001
050606088800801004,050606088800801,5. SOMALI,008
050610088800304006,050610088800304,5. SOMALI,003
050611010100206001,050611010100206,5. SOMALI,002
050611010101009001,050611010101009,5. SOMALI,010
050701088801207001,050701088801207,5. SOMALI,012
050703088800901001,050703088800901,5. SOMALI,009
050704088801101001,050704088801101,5. SOMALI,011
050706010100201012,050706010100201,5. SOMALI,002
050707088800603001,050707088800603,5. SOMALI,006
050801010100308002,050801010100308,5. SOMALI,003
050802088801803003,050802088801803,5. SOMALI,018
050805088800704003,050805088800704,5. SOMALI,007
050807088800305002,050807088800305,5. SOMALI,003
050808088801601002,050808088801601,5. SOMALI,016
050901010100102004,050901010100102,5. SOMALI,001
050902088801202003,050902088801202,5. SOMALI,012
050905088800202009,050905088800202,5. SOMALI,002
050906010100116002,050906010100116,5. SOMALI,001
050907088800903007,050907088800903,5. SOMALI,009
051003088800201002,051003088800201,5. SOMALI,002
051004088801303013,051004088801303,5. SOMALI,013
051101088801203001,051101088801203,5. SOMALI,012
051103088801903002,051103088801903,5. SOMALI,019
060101088800403017,060101088800403,6. BENISHANGUL GUMUZ,004
060103088801802005,060103088801802,6. BENISHANGUL GUMUZ,018
060103088804602008,060103088804602,6. BENISHANGUL GUMUZ,046
060103088806701009,060103088806701,6. BENISHANGUL GUMUZ,067
060104010100103009,060104010100103,6. BENISHANGUL GUMUZ,001
060104088800802012,060104088800802,6. BENISHANGUL GUMUZ,008
060105088801701011,060105088801701,6. BENISHANGUL GUMUZ,017
060105088803201006,060105088803201,6. BENISHANGUL GUMUZ,032
060107088800402010,060107088800402,6. BENISHANGUL GUMUZ,004
060108010100106001,060108010100106,6. BENISHANGUL GUMUZ,001
060108010100205007,060108010100205,6. BENISHANGUL GUMUZ,002
060108010100319013,060108010100319,6. BENISHANGUL GUMUZ,003
060108010100415042,060108010100415,6. BENISHANGUL GUMUZ,004
060201010100103002,060201010100103,6. BENISHANGUL GUMUZ,001
060201088801903007,060201088801903,6. BENISHANGUL GUMUZ,019
060203010100106002,060203010100106,6. BENISHANGUL GUMUZ,001
060203088800704007,060203088800704,6. BENISHANGUL GUMUZ,007
060203088802004009,060203088802004,6. BENISHANGUL GUMUZ,020
060204020100105001,060204020100105,6. BENISHANGUL GUMUZ,001
060205040100108002,060205040100108,6. BENISHANGUL GUMUZ,001
060205088801701009,060205088801701,6. BENISHANGUL GUMUZ,017
060206020100103006,060206020100103,6. BENISHANGUL GUMUZ,001
060206088800203008,060206088800203,6. BENISHANGUL GUMUZ,002
060206088800904010,060206088800904,6. BENISHANGUL GUMUZ,009
060207030100102012,060207030100102,6. BENISHANGUL GUMUZ,001
060207088801401012,060207088801401,6. BENISHANGUL GUMUZ,014
060302010100105003,060302010100105,6. BENISHANGUL GUMUZ,001
060305010100106004,060305010100106,6. BENISHANGUL GUMUZ,001
060401088802401009,060401088802401,6. BENISHANGUL GUMUZ,024
070104088801204007,070104088801204,7. SNNP,012
070108088800802006,070108088800802,7. SNNP,008
070110010100205003,070110010100205,7. SNNP,002
070112088800907009,070112088800907,7. SNNP,009
070205030100103002,070205030100103,7. SNNP,001
070205088801202011,070205088801202,7. SNNP,012
070210088801703007,070210088801703,7. SNNP,017
070211010100614004,070211010100614,7. SNNP,006
070302088800701006,070302088800701,7. SNNP,007
070305088801101011,070305088801101,7. SNNP,011
070309010100307008,070309010100307,7. SNNP,003
070403088802407009,070403088802407,7. SNNP,024
070407088801207011,070407088801207,7. SNNP,012
070409010100108004,070409010100108,7. SNNP,001
070410088800810008,070410088800810,7. SNNP,008
070414088800609008,070414088800609,7. SNNP,006
070418088801803011,070418088801803,7. SNNP,018
070420010100106014,070420010100106,7. SNNP,001
070501088800605010,070501088800605,7. SNNP,006
070503088801401009,070503088801401,7. SNNP,014
070602088802005010,070602088802005,7. SNNP,020
070603010100105018,070603010100105,7. SNNP,001
070606088801009008,070606088801009,7. SNNP,010
070610088800907006,070610088800907,7. SNNP,009
070613010100707009,070613010100707,7. SNNP,007
070701010100104006,070701010100104,7. SNNP,001
070702088802709008,070702088802709,7. SNNP,027
070706088801507005,070706088801507,7. SNNP,015
070904030100101003,070904030100101,7. SNNP,001
070904088801204007,070904088801204,7. SNNP,012
070909088800504009,070909088800504,7. SNNP,005
071003088801004011,071003088801004,7. SNNP,010
071005020100101002,071005020100101,7. SNNP,001
071008088801603010,071008088801603,7. SNNP,016
071013088801005012,071013088801005,7. SNNP,010
071016010100610009,071016010100610,7. SNNP,006
071104088800912006,071104088800912,7. SNNP,009
071110010100102014,071110010100102,7. SNNP,001
071110088800906009,071110088800906,7. SNNP,009
071201088801101010,071201088801101,7. SNNP,011
071201088802507009,071201088802507,7. SNNP,025
071304010100212006,071304010100212,7. SNNP,002
071308010100210006,071308010100210,7. SNNP,002
071501030100102007,071501030100102,7. SNNP,001
071502088801308008,071502088801308,7. SNNP,013
071504088803610009,071504088803610,7. SNNP,036
071601088800404008,071601088800404,7. SNNP,004
071601088804904012,071601088804904,7. SNNP,049
071701030100103014,071701030100103,7. SNNP,001
071701088802301011,071701088802301,7. SNNP,023
071704088800902009,071704088800902,7. SNNP,009
071801088800504013,071801088800504,7. SNNP,005
071801088801406009,071801088801406,7. SNNP,014
071901088801705009,071901088801705,7. SNNP,017
071901088803902013,071901088803902,7. SNNP,039
072001088800308009,072001088800308,7. SNNP,003
072003088802401005,072003088802401,7. SNNP,024
072005010100203005,072005010100203,7. SNNP,002
120101088801001015,120101088801001,12. GAMBELA,010
120102088800501009,120102088800501,12. GAMBELA,005
120103010100101014,120103010100101,12. GAMBELA,001
120103010100402016,120103010100402,12. GAMBELA,004
120103088800301009,120103088800301,12. GAMBELA,003
