time,lat,lon,spei
2020-01-16,0.25,32.25,1.5222044
2020-01-16,0.25,32.75,1.8837717
2020-01-16,0.25,33.25,2.1028664
2020-01-16,0.25,33.75,2.2169325
2020-01-16,0.25,34.25,2.2663474
2020-01-16,0.25,34.75,2.317536
2020-01-16,0.25,35.25,2.2688766
2020-01-16,0.25,35.75,2.320025
2020-01-16,0.25,36.25,2.2523983
2020-01-16,0.25,36.75,2.123247
2020-01-16,0.25,37.25,2.1098795
2020-01-16,0.25,37.75,1.9853808
2020-01-16,0.25,38.25,1.995534
2020-01-16,0.25,38.75,2.019968
2020-01-16,0.25,39.25,1.800106
2020-01-16,0.25,39.75,1.7616372
2020-01-16,0.25,40.25,1.6624265
2020-01-16,0.25,40.75,1.5634426
2020-01-16,0.25,41.25,1.236461
2020-01-16,0.25,41.75,1.0382531
2020-01-16,0.25,42.25,0.5691669
2020-01-16,0.25,42.75,0.14406788
2020-01-16,0.25,43.25,-0.15704536
2020-01-16,0.25,43.75,
2020-01-16,0.25,44.25,
2020-01-16,0.25,44.75,
2020-01-16,0.25,45.25,
2020-01-16,0.25,45.75,
2020-01-16,0.25,46.25,
2020-01-16,0.25,46.75,
2020-01-16,0.25,47.25,
2020-01-16,0.25,47.75,
2020-01-16,0.75,32.25,1.6735067
2020-01-16,0.75,32.75,2.0402217
2020-01-16,0.75,33.25,2.2169273
2020-01-16,0.75,33.75,2.2337503
2020-01-16,0.75,34.25,2.2667692
2020-01-16,0.75,34.75,2.1978638
2020-01-16,0.75,35.25,2.1834726
2020-01-16,0.75,35.75,2.096122
2020-01-16,0.75,36.25,2.2125037
2020-01-16,0.75,36.75,2.1500223
2020-01-16,0.75,37.25,1.9519087
2020-01-16,0.75,37.75,1.7369512
2020-01-16,0.75,38.25,1.8791726
2020-01-16,0.75,38.75,1.8648582
2020-01-16,0.75,39.25,1.7332615
2020-01-16,0.75,39.75,1.6076344
2020-01-16,0.75,40.25,1.5065864
2020-01-16,0.75,40.75,1.4072828
2020-01-16,0.75,41.25,1.2290913
2020-01-16,0.75,41.75,1.0661259
2020-01-16,0.75,42.25,0.69583935
2020-01-16,0.75,42.75,0.3885747
2020-01-16,0.75,43.25,0.21629955
2020-01-16,0.75,43.75,0.04483552
2020-01-16,0.75,44.25,
2020-01-16,0.75,44.75,
2020-01-16,0.75,45.25,
2020-01-16,0.75,45.75,
2020-01-16,0.75,46.25,
2020-01-16,0.75,46.75,
2020-01-16,0.75,47.25,
2020-01-16,0.75,47.75,
2020-01-16,1.25,32.25,1.6801364
2020-01-16,1.25,32.75,1.9973637
