time,lat,lon,spei
2023-06-16,0.25,32.25,0.78455645
2023-06-16,0.25,32.75,0.7965066
2023-06-16,0.25,33.25,0.85164005
2023-06-16,0.25,33.75,1.0017226
2023-06-16,0.25,34.25,1.2023606
2023-06-16,0.25,34.75,2.2558475
2023-06-16,0.25,35.25,2.7161548
2023-06-16,0.25,35.75,2.5780056
2023-06-16,0.25,36.25,2.588027
2023-06-16,0.25,36.75,2.5023727
2023-06-16,0.25,37.25,2.3864493
2023-06-16,0.25,37.75,2.0202339
2023-06-16,0.25,38.25,0.89872587
2023-06-16,0.25,38.75,-0.12852626
2023-06-16,0.25,39.25,-0.5487964
2023-06-16,0.25,39.75,-0.40285194
2023-06-16,0.25,40.25,-0.14685762
2023-06-16,0.25,40.75,-0.028062515
2023-06-16,0.25,41.25,0.17420109
2023-06-16,0.25,41.75,0.14266102
2023-06-16,0.25,42.25,0.01445
2023-06-16,0.25,42.75,0.19469656
2023-06-16,0.25,43.25,0.20496322
2023-06-16,0.25,43.75,
2023-06-16,0.25,44.25,
2023-06-16,0.25,44.75,
2023-06-16,0.25,45.25,
2023-06-16,0.25,45.75,
2023-06-16,0.25,46.25,
2023-06-16,0.25,46.75,
2023-06-16,0.25,47.25,
2023-06-16,0.25,47.75,
2023-06-16,0.75,32.25,0.22525062
2023-06-16,0.75,32.75,0.29933918
2023-06-16,0.75,33.25,0.23156409
2023-06-16,0.75,33.75,0.3268486
2023-06-16,0.75,34.25,0.9214001
2023-06-16,0.75,34.75,1.823494
2023-06-16,0.75,35.25,2.3174627
2023-06-16,0.75,35.75,2.499691
2023-06-16,0.75,36.25,2.2725158
2023-06-16,0.75,36.75,2.2562857
2023-06-16,0.75,37.25,1.9024423
2023-06-16,0.75,37.75,0.6656467
2023-06-16,0.75,38.25,0.03849139
2023-06-16,0.75,38.75,-1.1352109
2023-06-16,0.75,39.25,-1.0387415
2023-06-16,0.75,39.75,-1.6928734
2023-06-16,0.75,40.25,-1.0460031
2023-06-16,0.75,40.75,-0.41034764
2023-06-16,0.75,41.25,-0.16376615
2023-06-16,0.75,41.75,-0.35797587
2023-06-16,0.75,42.25,-0.4849266
2023-06-16,0.75,42.75,-0.30204824
2023-06-16,0.75,43.25,-0.008932027
2023-06-16,0.75,43.75,0.1919099
2023-06-16,0.75,44.25,
2023-06-16,0.75,44.75,
2023-06-16,0.75,45.25,
2023-06-16,0.75,45.75,
2023-06-16,0.75,46.25,
2023-06-16,0.75,46.75,
2023-06-16,0.75,47.25,
2023-06-16,0.75,47.75,
2023-06-16,1.25,32.25,-0.4126982
2023-06-16,1.25,32.75,-0.32116082
2023-06-16,1.25,33.25,-0.16576116
2023-06-16,1.25,33.75,-0.12174832
