min,max,mean,year,adm3_pcode
0.8451036214828491,0.8451036214828491,0.8451036214828491,2020-01-16T00:00:00.000000000,ET010101
1.1556062698364258,1.1556062698364258,1.1556062698364258,2020-01-16T00:00:00.000000000,ET010102
,,,2020-01-16T00:00:00.000000000,ET010103
,,,2020-01-16T00:00:00.000000000,ET010104
,,,2020-01-16T00:00:00.000000000,ET010105
,,,2020-01-16T00:00:00.000000000,ET010106
,,,2020-01-16T00:00:00.000000000,ET010107
,,,2020-01-16T00:00:00.000000000,ET010108
,,,2020-01-16T00:00:00.000000000,ET010109
,,,2020-01-16T00:00:00.000000000,ET010110
,,,2020-01-16T00:00:00.000000000,ET010111
,,,2020-01-16T00:00:00.000000000,ET010112
0.98321932554245,0.98321932554245,0.98321932554245,2020-01-16T00:00:00.000000000,ET010113
,,,2020-01-16T00:00:00.000000000,ET010114
,,,2020-01-16T00:00:00.000000000,ET010115
,,,2020-01-16T00:00:00.000000000,ET010116
,,,2020-01-16T00:00:00.000000000,ET010201
,,,2020-01-16T00:00:00.000000000,ET010202
,,,2020-01-16T00:00:00.000000000,ET010203
,,,2020-01-16T00:00:00.000000000,ET010204
1.1072962284088135,1.1072962284088135,1.1072962284088135,2020-01-16T00:00:00.000000000,ET010205
,,,2020-01-16T00:00:00.000000000,ET010206
,,,2020-01-16T00:00:00.000000000,ET010207
1.1229526996612549,1.1229526996612549,1.1229526996612549,2020-01-16T00:00:00.000000000,ET010208
,,,2020-01-16T00:00:00.000000000,ET010209
,,,2020-01-16T00:00:00.000000000,ET010210
,,,2020-01-16T00:00:00.000000000,ET010211
,,,2020-01-16T00:00:00.000000000,ET010212
,,,2020-01-16T00:00:00.000000000,ET010213
,,,2020-01-16T00:00:00.000000000,ET010214
,,,2020-01-16T00:00:00.000000000,ET010215
,,,2020-01-16T00:00:00.000000000,ET010216
,,,2020-01-16T00:00:00.000000000,ET010217
,,,2020-01-16T00:00:00.000000000,ET010218
,,,2020-01-16T00:00:00.000000000,ET010219
,,,2020-01-16T00:00:00.000000000,ET010220
,,,2020-01-16T00:00:00.000000000,ET010221
,,,2020-01-16T00:00:00.000000000,ET010222
,,,2020-01-16T00:00:00.000000000,ET010301
,,,2020-01-16T00:00:00.000000000,ET010302
1.0524452924728394,1.0524452924728394,1.0524452924728394,2020-01-16T00:00:00.000000000,ET010303
,,,2020-01-16T00:00:00.000000000,ET010304
,,,2020-01-16T00:00:00.000000000,ET010305
,,,2020-01-16T00:00:00.000000000,ET010306
,,,2020-01-16T00:00:00.000000000,ET010307
,,,2020-01-16T00:00:00.000000000,ET010308
,,,2020-01-16T00:00:00.000000000,ET010309
1.0145527124404907,1.0145527124404907,1.0145527124404907,2020-01-16T00:00:00.000000000,ET010310
,,,2020-01-16T00:00:00.000000000,ET010311
,,,2020-01-16T00:00:00.000000000,ET010312
,,,2020-01-16T00:00:00.000000000,ET010313
,,,2020-01-16T00:00:00.000000000,ET010314
,,,2020-01-16T00:00:00.000000000,ET010315
0.5679258704185486,0.5679258704185486,0.5679258704185486,2020-01-16T00:00:00.000000000,ET010316
1.2634625434875488,1.2634625434875488,1.2634625434875488,2020-01-16T00:00:00.000000000,ET010317
,,,2020-01-16T00:00:00.000000000,ET010318
,,,2020-01-16T00:00:00.000000000,ET010401
,,,2020-01-16T00:00:00.000000000,ET010402
,,,2020-01-16T00:00:00.000000000,ET010403
,,,2020-01-16T00:00:00.000000000,ET010404
,,,2020-01-16T00:00:00.000000000,ET010405
0.7007350921630859,0.7007350921630859,0.7007350921630859,2020-01-16T00:00:00.000000000,ET010406
,,,2020-01-16T00:00:00.000000000,ET010407
,,,2020-01-16T00:00:00.000000000,ET010408
,,,2020-01-16T00:00:00.000000000,ET010409
,,,2020-01-16T00:00:00.000000000,ET010410
,,,2020-01-16T00:00:00.000000000,ET010411
,,,2020-01-16T00:00:00.000000000,ET010412
,,,2020-01-16T00:00:00.000000000,ET010413
,,,2020-01-16T00:00:00.000000000,ET010414
0.633359968662262,0.8213316202163696,0.7112045288085938,2020-01-16T00:00:00.000000000,ET010501
0.8383402228355408,0.9426641464233398,0.8905022144317627,2020-01-16T00:00:00.000000000,ET010502
,,,2020-01-16T00:00:00.000000000,ET010503
,,,2020-01-16T00:00:00.000000000,ET010504
,,,2020-01-16T00:00:00.000000000,ET010505
,,,2020-01-16T00:00:00.000000000,ET010506
,,,2020-01-16T00:00:00.000000000,ET010507
,,,2020-01-16T00:00:00.000000000,ET010508
,,,2020-01-16T00:00:00.000000000,ET010509
,,,2020-01-16T00:00:00.000000000,ET010601
0.6503996849060059,0.6503996849060059,0.6503996849060059,2020-01-16T00:00:00.000000000,ET010602
,,,2020-01-16T00:00:00.000000000,ET010603
,,,2020-01-16T00:00:00.000000000,ET010604
,,,2020-01-16T00:00:00.000000000,ET010605
1.0631811618804932,1.0631811618804932,1.0631811618804932,2020-01-16T00:00:00.000000000,ET010606
,,,2020-01-16T00:00:00.000000000,ET010607
,,,2020-01-16T00:00:00.000000000,ET010608
,,,2020-01-16T00:00:00.000000000,ET010701
,,,2020-01-16T00:00:00.000000000,ET020101
,,,2020-01-16T00:00:00.000000000,ET020102
,,,2020-01-16T00:00:00.000000000,ET020103
,,,2020-01-16T00:00:00.000000000,ET020104
,,,2020-01-16T00:00:00.000000000,ET020105
,,,2020-01-16T00:00:00.000000000,ET020106
,,,2020-01-16T00:00:00.000000000,ET020107
,,,2020-01-16T00:00:00.000000000,ET020108
1.042672038078308,1.042672038078308,1.042672038078308,2020-01-16T00:00:00.000000000,ET020109
,,,2020-01-16T00:00:00.000000000,ET020110
,,,2020-01-16T00:00:00.000000000,ET020111
,,,2020-01-16T00:00:00.000000000,ET020198
1.0093770027160645,1.0093770027160645,1.0093770027160645,2020-01-16T00:00:00.000000000,ET020201
,,,2020-01-16T00:00:00.000000000,ET020202
,,,2020-01-16T00:00:00.000000000,ET020203
,,,2020-01-16T00:00:00.000000000,ET020204
,,,2020-01-16T00:00:00.000000000,ET020205
0.15692126750946045,0.15692126750946045,0.15692126750946045,2020-01-16T00:00:00.000000000,ET020206
0.32660290598869324,0.529221773147583,0.4194445013999939,2020-01-16T00:00:00.000000000,ET020207
,,,2020-01-16T00:00:00.000000000,ET020208
,,,2020-01-16T00:00:00.000000000,ET020209
,,,2020-01-16T00:00:00.000000000,ET020301
,,,2020-01-16T00:00:00.000000000,ET020302
0.891010582447052,0.891010582447052,0.891010582447052,2020-01-16T00:00:00.000000000,ET020303
,,,2020-01-16T00:00:00.000000000,ET020304
,,,2020-01-16T00:00:00.000000000,ET020305
,,,2020-01-16T00:00:00.000000000,ET020306
,,,2020-01-16T00:00:00.000000000,ET020307
,,,2020-01-16T00:00:00.000000000,ET020396
,,,2020-01-16T00:00:00.000000000,ET020401
0.9871681928634644,0.9871681928634644,0.9871681928634644,2020-01-16T00:00:00.000000000,ET020402
0.9178435206413269,1.020328164100647,0.9690858125686646,2020-01-16T00:00:00.000000000,ET020403
,,,2020-01-16T00:00:00.000000000,ET020404
,,,2020-01-16T00:00:00.000000000,ET020405
,,,2020-01-16T00:00:00.000000000,ET020501
,,,2020-01-16T00:00:00.000000000,ET020502
0.7680730223655701,0.7680730223655701,0.7680730223655701,2020-01-16T00:00:00.000000000,ET020503
,,,2020-01-16T00:00:00.000000000,ET020504
1.0303267240524292,1.0303267240524292,1.0303267240524292,2020-01-16T00:00:00.000000000,ET020505
,,,2020-01-16T00:00:00.000000000,ET030101
,,,2020-01-16T00:00:00.000000000,ET030102
1.2956409454345703,1.2956409454345703,1.2956409454345703,2020-01-16T00:00:00.000000000,ET030103
1.1876506805419922,1.1876506805419922,1.1876506805419922,2020-01-16T00:00:00.000000000,ET030104
,,,2020-01-16T00:00:00.000000000,ET030105
,,,2020-01-16T00:00:00.000000000,ET030106
,,,2020-01-16T00:00:00.000000000,ET030119
,,,2020-01-16T00:00:00.000000000,ET030198
1.3383442163467407,1.3383442163467407,1.3383442163467407,2020-01-16T00:00:00.000000000,ET030201
1.447404146194458,1.447404146194458,1.447404146194458,2020-01-16T00:00:00.000000000,ET030202
1.2626162767410278,1.2626162767410278,1.2626162767410278,2020-01-16T00:00:00.000000000,ET030203
,,,2020-01-16T00:00:00.000000000,ET030204
1.2336291074752808,1.2336291074752808,1.2336291074752808,2020-01-16T00:00:00.000000000,ET030205
,,,2020-01-16T00:00:00.000000000,ET030206
1.0058283805847168,1.0058283805847168,1.0058283805847168,2020-01-16T00:00:00.000000000,ET030207
,,,2020-01-16T00:00:00.000000000,ET030208
,,,2020-01-16T00:00:00.000000000,ET030209
,,,2020-01-16T00:00:00.000000000,ET030210
,,,2020-01-16T00:00:00.000000000,ET030211
,,,2020-01-16T00:00:00.000000000,ET030212
,,,2020-01-16T00:00:00.000000000,ET030213
,,,2020-01-16T00:00:00.000000000,ET030214
,,,2020-01-16T00:00:00.000000000,ET030215
,,,2020-01-16T00:00:00.000000000,ET030216
,,,2020-01-16T00:00:00.000000000,ET030217
,,,2020-01-16T00:00:00.000000000,ET030218
,,,2020-01-16T00:00:00.000000000,ET030293
,,,2020-01-16T00:00:00.000000000,ET030298
,,,2020-01-16T00:00:00.000000000,ET030299
1.1947187185287476,1.1947187185287476,1.1947187185287476,2020-01-16T00:00:00.000000000,ET030301
0.6779220700263977,0.6779220700263977,0.6779220700263977,2020-01-16T00:00:00.000000000,ET030302
,,,2020-01-16T00:00:00.000000000,ET030303
,,,2020-01-16T00:00:00.000000000,ET030304
1.1210917234420776,1.1210917234420776,1.1210917234420776,2020-01-16T00:00:00.000000000,ET030305
,,,2020-01-16T00:00:00.000000000,ET030306
,,,2020-01-16T00:00:00.000000000,ET030307
0.8030255436897278,0.8030255436897278,0.8030255436897278,2020-01-16T00:00:00.000000000,ET030308
,,,2020-01-16T00:00:00.000000000,ET030309
0.8018330335617065,0.8018330335617065,0.8018330335617065,2020-01-16T00:00:00.000000000,ET030310
,,,2020-01-16T00:00:00.000000000,ET030311
,,,2020-01-16T00:00:00.000000000,ET030312
,,,2020-01-16T00:00:00.000000000,ET030313
1.1599212884902954,1.1599212884902954,1.1599212884902954,2020-01-16T00:00:00.000000000,ET030314
,,,2020-01-16T00:00:00.000000000,ET030315
,,,2020-01-16T00:00:00.000000000,ET030397
,,,2020-01-16T00:00:00.000000000,ET030398
,,,2020-01-16T00:00:00.000000000,ET030399
,,,2020-01-16T00:00:00.000000000,ET030401
1.0767827033996582,1.0767827033996582,1.0767827033996582,2020-01-16T00:00:00.000000000,ET030402
,,,2020-01-16T00:00:00.000000000,ET030403
,,,2020-01-16T00:00:00.000000000,ET030404
0.9934132695198059,0.9934132695198059,0.9934132695198059,2020-01-16T00:00:00.000000000,ET030405
,,,2020-01-16T00:00:00.000000000,ET030406
,,,2020-01-16T00:00:00.000000000,ET030407
,,,2020-01-16T00:00:00.000000000,ET030408
,,,2020-01-16T00:00:00.000000000,ET030409
,,,2020-01-16T00:00:00.000000000,ET030410
,,,2020-01-16T00:00:00.000000000,ET030411
0.8927028775215149,0.8927028775215149,0.8927028775215149,2020-01-16T00:00:00.000000000,ET030412
,,,2020-01-16T00:00:00.000000000,ET030413
1.341330647468567,1.341330647468567,1.341330647468567,2020-01-16T00:00:00.000000000,ET030414
,,,2020-01-16T00:00:00.000000000,ET030415
,,,2020-01-16T00:00:00.000000000,ET030416
,,,2020-01-16T00:00:00.000000000,ET030417
,,,2020-01-16T00:00:00.000000000,ET030418
,,,2020-01-16T00:00:00.000000000,ET030419
1.06222665309906,1.06222665309906,1.06222665309906,2020-01-16T00:00:00.000000000,ET030420
1.0432624816894531,1.0432624816894531,1.0432624816894531,2020-01-16T00:00:00.000000000,ET030421
,,,2020-01-16T00:00:00.000000000,ET030422
,,,2020-01-16T00:00:00.000000000,ET030423
,,,2020-01-16T00:00:00.000000000,ET030424
,,,2020-01-16T00:00:00.000000000,ET030425
,,,2020-01-16T00:00:00.000000000,ET030426
,,,2020-01-16T00:00:00.000000000,ET030427
,,,2020-01-16T00:00:00.000000000,ET030428
,,,2020-01-16T00:00:00.000000000,ET030429
,,,2020-01-16T00:00:00.000000000,ET030498
,,,2020-01-16T00:00:00.000000000,ET030499
,,,2020-01-16T00:00:00.000000000,ET030501
,,,2020-01-16T00:00:00.000000000,ET030502
,,,2020-01-16T00:00:00.000000000,ET030503
,,,2020-01-16T00:00:00.000000000,ET030504
